Name,Category,RaceName,Event,Rank,Date
Baumgartner Elisa,MU12,72. Albisrennen,Riesenslalom,4,19.01.2025
Baumgartner Melicia,MU14,72. Albisrennen,Riesenslalom,2,19.01.2025
Seiler Anna,MU14,72. Albisrennen,Riesenslalom,12,19.01.2025
Börlin Mael,KU12,72. Albisrennen,Riesenslalom,4,19.01.2025
Rossi Liam,KU12,72. Albisrennen,Riesenslalom,10,19.01.2025
Seiler Louis,KU16,72. Albisrennen,Riesenslalom,4,19.01.2025
Hensch Pascal,KU14,72. Albisrennen,Riesenslalom,DNF,19.01.2025
Simmerle Finn,KU16,72. Albisrennen,Riesenslalom,DNF,19.01.2025
Kaifer Chiara Luana,Mädchen U12,Zürileu Rennen 2025,Riesenslalom,4,11.01.2025
Baumgartner Elisa,Mädchen U12,Zürileu Rennen 2025,Riesenslalom,8,11.01.2025
Baumgartner Melicia,Mädchen U14,Zürileu Rennen 2025,Riesenslalom,5,11.01.2025
Seiler Anna,Mädchen U14,Zürileu Rennen 2025,Riesenslalom,17,11.01.2025
Artho Emma,Mädchen U14,Zürileu Rennen 2025,Riesenslalom,24,11.01.2025
Roshardt Aliyah,Mädchen U16,Zürileu Rennen 2025,Riesenslalom,4,11.01.2025
Börlin Mael,Knaben U12,Zürileu Rennen 2025,Riesenslalom,6,11.01.2025
Rossi Liam,Knaben U12,Zürileu Rennen 2025,Riesenslalom,18,11.01.2025
Hensch Pascal,Knaben U14,Zürileu Rennen 2025,Riesenslalom,24,11.01.2025
Fuhrer Ramon,Knaben U14,Zürileu Rennen 2025,Riesenslalom,40,11.01.2025
Simmerle Finn,Knaben U16,Zürileu Rennen 2025,Riesenslalom,8,11.01.2025
Janssen Justin,Knaben U16,Zürileu Rennen 2025,Riesenslalom,11,11.01.2025
Baumgartner Elisa,Mädchen U12,RGZO Slalom,Slalom,2,26.01.2025
Kaifer Chiara Luana,Mädchen U12,RGZO Slalom,Slalom,6,26.01.2025
Baumgartner Melicia,Mädchen U14,RGZO Slalom,Slalom,2,26.01.2025
Seiler Anna,Mädchen U14,RGZO Slalom,Slalom,8,26.01.2025
Artho Emma,Mädchen U14,RGZO Slalom,Slalom,12,26.01.2025
Roshardt Aliyah,Mädchen U16,RGZO Slalom,Slalom,1,26.01.2025
Börlin Mael,Knaben U12,RGZO Slalom,Slalom,1,26.01.2025
Rossi Liam,Knaben U12,RGZO Slalom,Slalom,5,26.01.2025
Hensch Pascal,Knaben U14,RGZO Slalom,Slalom,11,26.01.2025
Fuhrer Ramon,Knaben U14,RGZO Slalom,Slalom,26,26.01.2025
Seiler Louis,Knaben U16,RGZO Slalom,Slalom,9,26.01.2025
Janssen Justin,Knaben U16,RGZO Slalom,Slalom,10,26.01.2025
Simmerle Finn,Knaben U16,RGZO Slalom,Slalom,DNF,26.01.2025
